,DUNS,DCOMP,DTRADE,DSTREET,DCITY,DSTATEAB,DZIP5,DZIP4EXT,DMAILADD,DMAILCIT,DMAILSTA,DMAILZIP,DMAILZP4,DCARRRTC,FILLER1,DNATLCOD,DSTATECO,DCOUNTYC,DCITYCOD,DSMSACOD,DTELEPHO,DCEONAME,DCEOTITT,DSALESVO,DSLSVOLC,DEMPLTOT,DEMPTOTC,DEMPLHER,DEMPHRCD,DYRSTART,DSTATUSI,DSUBSIDI,DMANUFIN,DULTDUN,DHDQDUN,DPARDUN,DPRHQCT,DPRHQST,FILLER2,FILLER3,DHIER,DDIAS,DPOPLCD,DTRANCD,DRPTDAT,FILLER4,DRCRDCL,DLINEBU,DPRIMSI,DSICEXT1,DSICEXT2,DSICEXT3,DSICEXT4,DSIC2,DSIC3,DSIC4,DSIC5,DSIC6
61,001002138,OPTOMETRICS CORPORATION,,521 GREAT RD STE 1,LITTLETON,MA,01460,1208,,,,,,R004,,000,41,599,4196,,9787721700.0,MICHAEL J CUMBO,CHIEF EXECUTIVE OFFICER,000000007983843,2.0,000000050,0.0,000000050,0.0,2021.0,0.0,3.0,0.0,118233781,,118233781.0,Brattleboro,VT,022Y112,0.0,02,001869927,9.0,3.0,220118,,0.0,OPTCL INSTRMNTS LN,3827,0107,9910,,,,,,,
62,001002146,DAMPNEY COMPANY INC,,85 PARIS ST,EVERETT,MA,02149,4411,,,,,,C013,,000,41,599,2779,082,6173892805.0,RAYMOND K PAVLIK,PRESIDENT,000000009802970,2.0,000000025,0.0,000000025,0.0,2002.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,9.0,3.0,190123,,0.0,PAINTS ALLIED PRDT,2851,0103,0201,,,,,,,
63,001002161,BYERS REALTY INC,BYERS IMPORTS,401 N HAMILTON RD,COLUMBUS,OH,43213,1313,P O BOX 16513,COLUMBUS,OH,43216,6513,B050,,000,69,273,1765,136,6148645180.0,KEVIN KING,GENERAL MANAGER,000000000000000,,000000000,,000000116,0.0,,2.0,0.0,1.0,079418372,079418372,,Columbus,OH,040Y184,0.0,01,000391652,9.0,3.0,221120,,0.0,NEW USED CAR DLRS,5511,9901,,,,,,,,
64,001002216,CENTERPOINT CMNTY BAPTST CH,CENTER POINT CHURCH,7804 MID CITIES BLVD,NORTH RICHLAND HILLS,TX,76180,4656,,,,,,C031,,000,85,756,0638,142,8175814900.0,JAY BRUNER,PASTOR,000000001094331,2.0,000000018,0.0,000000018,0.0,1998.0,0.0,0.0,1.0,,,,,,042Y280,0.0,,,9.0,3.0,221120,,0.0,RELIGIOUS ORGNZTNS,8661,0103,,,,,,,,
65,001002380,NARCOTICS ANONYMOUS,,,NORTHRIDGE,CA,91328,,P O BOX 280595,NORTHRIDGE,CA,91328,0595,B006,,000,09,332,5627,328,8187879706.0,,,000000000040506,2.0,000000002,2.0,000000002,2.0,2000.0,0.0,0.0,1.0,,,,,,097N448,0.0,,,9.0,3.0,190124,,0.0,SPTY OTPNT CLNS NE,8093,0000,,,,,,,,
66,001002463,LABOR EMPLOYMENT SEC FLA DEPT,BUREAU OF COMPLIANCE,1415 E SUNRISE BLVD,FORT LAUDERDALE,FL,33304,2324,,,,,,C005,,000,17,108,2914,196,,LANNY EAVANS,MANAGER,000000000000000,,000000000,,000000044,2.0,,2.0,0.0,1.0,004078374,809396732,,Tallahassee,FL,106Y268,0.0,03,002383510,9.0,3.0,210723,,2.0,RGLTN MISC CM SCTRS,9651,0200,0402,,,,,,,
67,001002471,TENNESSEE DISABILITY COALITION,,5641 MERCHANTS CTR BL 104,KNOXVILLE,TN,37912,3468,,,,,,C003,,000,83,455,4937,283,,JEFF CLAYTON,MANAGER,000000000000000,,000000000,,000000008,0.0,,2.0,0.0,1.0,007729908,007729908,,Nashville,TN,088Y384,0.0,01,002525701,8.0,3.0,221113,,2.0,MBRSHP ORGNZTNS NE,8699,9901,,,,,,,,
68,001002562,MISS GINGER DAY CARE,,3505 RUTH RD,KINSTON,NC,28504,1945,,,,,,C021,,000,65,535,4729,,2525222147.0,GINGER COLLIE,OWNER,000000000027099,2.0,000000001,0.0,000000001,0.0,2000.0,0.0,0.0,1.0,,,,,,067Y000,0.0,,,6.0,3.0,190210,,0.0,CHILD DAY CARE SVCS,8351,0000,,,,,,,,
69,001002653,S & D BACKHOE & GRADING,,39 ATLAS LN,FLAT ROCK,NC,28731,5618,,,,,,R001,,000,65,445,3085,,,DANIEL PIPER,OWNER,000000000198881,2.0,000000003,0.0,000000003,0.0,1996.0,0.0,0.0,1.0,,,,,,010Y000,0.0,,,7.0,3.0,221120,,2.0,LCL TRCKG W/O STRGE,4212,9905,,,,07810200,17110201,,,
70,001002687,M & M HEATING/AIR SERVICES,,143 MCMICHAEL LN,FLAT ROCK,NC,28731,6662,,,,,,R002,,000,65,445,3085,,8286985357.0,MIKE MULLIN,OWNER,000000000090567,2.0,000000001,0.0,000000001,0.0,1999.0,0.0,0.0,1.0,,,,,,010Y000,0.0,,,7.0,3.0,221204,,0.0,PLBNG HTNG AIR-CO,1711,0405,,,,,,,,
71,001002737,VALLEY TABLE INC,HUDSON VALLEY RESTAURANT WEEK,152 POWELTON CIR,NEWBURGH,NY,12550,2230,,,,,,C024,,000,63,567,4874,411,8455626895.0,JANET CRAWSHAW,PRESIDENT,000000000251464,2.0,000000002,0.0,000000002,0.0,1998.0,0.0,0.0,0.0,,,,,,118Y566,0.0,,,8.0,3.0,221120,,0.0,PERIODICALS,2721,0000,,,,,,,,
72,001002745,WILKERSON ARCHITECTS LLC,,119 E TALLULAH DR,GREENVILLE,SC,29605,1140,,,,,,C048,,000,79,459,3680,232,8643702582.0,JAMES WILKERSON,MANAGING PARTNER,000000000313028,2.0,000000004,0.0,000000004,0.0,1997.0,0.0,0.0,1.0,,,,,,068Y316,0.0,,,8.0,3.0,221120,,0.0,ARCHITECTURAL SVCS,8712,0000,,,,,,,,
73,001002752,LABOR EMPLOYMENT SEC FLA DEPT,EMPLOYEE ASSISTANCE OFFICE,1415 E SUNRISE BLVD 604,FORT LAUDERDALE,FL,33304,2324,,,,,,C005,,000,17,108,2914,196,,RONNIE EVANS,MANAGER,000000000000000,,000000000,,000000005,0.0,,2.0,0.0,1.0,004078374,809396732,,Tallahassee,FL,106Y268,0.0,03,002383511,9.0,3.0,181223,,2.0,RGLTN MISC CM SCTRS,9651,0200,0402,,,,,,,
74,001002781,TRIANGLE ENGINEERING INC,,6 INDUSTRIAL WAY,HANOVER,MA,02339,2425,,,,,,C001,,000,41,797,3442,082,7818781500.0,ROBERT N COULSTRING JR,PRESIDENT,000000004525067,2.0,000000015,0.0,000000015,0.0,1960.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,8.0,3.0,201213,,0.0,FBRCT PLT WK BLR SH,3443,0000,,,,38290400,34989905,87110000.0,,
75,001002794,POWER LAWN MAINT & LDSCPG,,201 NEW UNIONVILLE RD,WALLKILL,NY,12589,2505,P O BOX 505,PLATTEKILL,NY,12568,0505,B005,,000,63,867,7610,,8455669216.0,EDUARDO MASCARO JR,OWNER,000000000055000,2.0,000000002,0.0,000000002,0.0,1998.0,0.0,0.0,1.0,,,,,,118Y000,0.0,,,7.0,3.0,211031,,0.0,LAWN GARDEN SVCS,0782,9903,,,,,,,,
76,001002815,METHOW VALLEY INDUSTRIAL LLC,,202 INDUSTRIAL PARK AVE,TWISP,WA,98856,,P O BOX 978,TWISP,WA,98856,0978,B008,,000,93,600,9047,,5099977777.0,LEONE C EDSON,MANAGING MEMBER,000000000397857,2.0,000000002,0.0,000000002,0.0,2002.0,0.0,0.0,0.0,,,,,,177Y000,0.0,,,5.0,3.0,221204,,0.0,WELDING REPAIR,7692,0000,,,,35990303,75380000,,,
77,001002851,GREENWOOD EXCAVATING INC,,128 MUSEUM VILLAGE RD,MONROE,NY,10950,1636,P O BOX 1027,MONROE,NY,10949,8027,B009,,000,63,567,4625,411,8457744907.0,ANTHONY VOLPE JR,PRINCIPAL,000000000190000,2.0,000000002,0.0,000000002,0.0,1998.0,0.0,0.0,1.0,,,,,,118Y566,0.0,,,8.0,3.0,221120,,0.0,EXCAVATION WORK,1794,0000,,,,,,,,
78,001002880,KINGSTON TRAILER INC,,35 E MAIN ST,MIDDLEBORO,MA,02346,2405,,,,,,C001,,000,41,797,4664,,7815854337.0,JOSEPH LANOUE,PRESIDENT,000000005945741,2.0,000000025,0.0,000000025,0.0,1960.0,0.0,0.0,1.0,,,,,,022Y120,0.0,,,8.0,3.0,221120,,0.0,AUTOMOTIVE DLRS NE,5599,9905,,,,,,,,
79,001002885,COMPTON WATER ASSOCIATION,,44A HC 33,HARRISON,AR,72601,9623,P O BOX 825,COMPTON,AR,72624,0825,B001,,000,07,071,3709,,8704203930.0,TIM FLAPE,PRESIDENT,000000000296660,0.0,000000002,0.0,000000002,0.0,1980.0,0.0,0.0,1.0,,,,,,159Y000,0.0,,,5.0,3.0,220327,,0.0,WATER SUPPLY,4941,0000,,,,,,,,
80,001002984,GRISSUM CABINETS & TOPS INC,,49 MC 5057,YELLVILLE,AR,72687,,P O BOX 401,YELLVILLE,AR,72687,0401,B006,,000,07,591,9735,,8704495320.0,RICHARD GRISSUM,PRESIDENT,000000000125054,2.0,000000001,0.0,000000001,0.0,1999.0,0.0,0.0,1.0,,,,,,159Y000,0.0,,,4.0,3.0,221120,,0.0,CARPENTRY WORK,1751,0100,,,,,,,,
81,001003081,SAINT JAMES AME CHURCH,AFRICAN METHODIST EPISCOPAL CH,ARCH ST,STEPHENS,AR,71764,,P O BOX 188,STEPHENS,AR,71764,0188,B002,,000,07,682,7999,,8707865266.0,,,000000000063500,2.0,000000002,0.0,000000002,0.0,2004.0,0.0,0.0,1.0,,,,,,096N000,0.0,,,5.0,3.0,211205,,0.0,RELIGIOUS ORGNZTNS,8661,0120,,,,,,,,
82,001003107,LABOR EMPLOYMENT SEC FLA DEPT,BUREAU REHABILITATION MED SVCS,1415 E SUNRISE BLVD,FORT LAUDERDALE,FL,33304,2324,,,,,,C005,,000,17,108,2914,196,,MITT ADAMS,MANAGER,000000000000000,,000000000,,000000007,0.0,,2.0,0.0,1.0,004078374,809396732,,Tallahassee,FL,106Y268,0.0,03,002383574,9.0,3.0,210627,,2.0,RGLTN MISC CM SCTRS,9651,0402,,,,,,,,
83,001003128,MUELLER CORPORATION,,530 SPRING ST,EAST BRIDGEWATER,MA,02333,1834,,,,,,C004,,000,41,797,2246,088,5084564500.0,MARK D SVIZZERO,PRESIDENT,000000018623611,2.0,000000160,0.0,000000160,0.0,1984.0,0.0,0.0,0.0,,,,,,022Y120,0.0,,,8.0,3.0,201213,,0.0,PLATING POLISHING,3471,0105,,,,,,,,
84,001003131,GENTRYVILLE WATER ASSN INC,,6 CLAXTON RD,ASH FLAT,AR,72513,9683,P O BOX 312,ASH FLAT,AR,72513,0312,B004,,000,07,890,0409,,8709942840.0,HOLLIS CATHY,MANAGER,000000000197951,2.0,000000003,0.0,000000003,0.0,1984.0,0.0,0.0,1.0,,,,,,096Y000,0.0,,,4.0,3.0,220825,,0.0,WATER SUPPLY,4941,0000,,,,,,,,
85,001003198,G & G GUIDE SERVICE,,477 COUNTY ROAD 1971,YANTIS,TX,75497,5404,,,,,,R002,,000,85,846,9283,,9033837658.0,GARY W LONG,OWNER,000000000065620,2.0,000000002,2.0,000000002,2.0,2006.0,0.0,0.0,1.0,,,,,,042Y000,0.0,,,5.0,3.0,221204,,0.0,AMUSEMENT RCRTN N,7999,1600,,,,,,,,
86,001003268,WATTS REGULATOR CO,,815 CHESTNUT ST,NORTH ANDOVER,MA,01845,6098,,,,,,R003,,000,41,335,5353,304,9786896000.0,MUNISH NANDA,PRESIDENT,000000478548879,2.0,000002249,0.0,000000230,0.0,1936.0,1.0,3.0,0.0,152163093,001003268,152163093.0,North Andover,MA,022Y416,0.0,02,002806056,9.0,3.0,210201,,0.0,INDUSTRIAL VALVES,3491,9905,9910,,,34949901,,,,
87,001003362,ZELLAR ENTERPRISES LTD,GULLIVERS CROSSROADS,2804 W US 2,GULLIVER,MI,49840,,,,,,,,,000,43,885,3717,,9062833114.0,LUANN ZELLAR,PRESIDENT,000000001000000,0.0,000000007,0.0,000000007,0.0,1998.0,0.0,0.0,1.0,,,,,,102Y000,0.0,,,3.0,3.0,210627,,0.0,GASLNE SVC STATIONS,5541,9904,,,,58120305,,,,
88,001003370,POWELL ROOFING INC,POWELL & SONS,118 SW MONROE AVE,MAYO,FL,32066,4710,P O BOX 1422,MAYO,FL,32066,1422,B009,,000,17,500,5674,,3862941755.0,WALLY POWELL,PRESIDENT,000000000377803,2.0,000000005,1.0,000000005,1.0,2000.0,0.0,0.0,1.0,,,,,,062Y000,0.0,,,3.0,3.0,221120,,0.0,RFNG SDNG SHT MTL,1761,0103,,,,,,,,
89,001003388,LABOR EMPLOYMENT SEC FLA DEPT,BUREAU OF COMPLIANCE,401 NW 2ND AVE STE S321,MIAMI,FL,33128,1752,,,,,,C075,,000,17,206,5824,361,3053775270.0,GLENDA SANCHEZ,MANAGER,000000000000000,,000000000,,000000021,2.0,,2.0,0.0,1.0,004078374,809396732,,Tallahassee,FL,106Y500,0.0,03,002383512,9.0,3.0,210723,,0.0,RGLTN MISC CM SCTRS,9651,0200,0402,,,,,,,
90,001003404,EVA BURRELL ANIMAL SHELTER,,6091 W US HIGHWAY 2,MANISTIQUE,MI,49854,,,,,,,,,000,43,885,5141,,9063411000.0,SHARON BARREL,DIRECTOR,000000000098725,0.0,000000001,0.0,000000001,0.0,1999.0,0.0,0.0,1.0,,,,,,102Y000,0.0,,,3.0,3.0,221120,,0.0,MBRSHP ORGNZTNS NE,8699,9901,,,,,,,,
91,001003441,PETERSON AND NASH INC,,846 MAIN ST,NORWELL,MA,02061,2320,,,,,,R007,,000,41,797,5964,082,7818269085.0,WAYNE PETERSON,PRESIDENT,000000001948717,2.0,000000029,2.0,000000029,2.0,1939.0,0.0,0.0,0.0,,,,,,022Y112,0.0,,,8.0,3.0,221120,,0.0,HAND EDGE TOOLS NE,3423,9916,,,,35410000,,,,
92,001003458,STANDARD RUBBER PRODUCTS INC,S & D RUBBER CO DIV,64 B ST,HANOVER,MA,02339,1885,P O BOX 920385,NEEDHAM,MA,02492,0005,B005,,000,41,797,3442,082,7818782626.0,PATRICIA DAVIS,PRESIDENT,000000008352292,2.0,000000040,0.0,000000040,0.0,1958.0,1.0,0.0,0.0,001003458,001003458,,,,022Y112,0.0,,,8.0,3.0,210426,,0.0,ADHESIVES SEALANTS,2891,0000,,,,30691004,,,,
93,001003474,HUDSON LOCK LLC,HUDSON LOCK/ESP,81 APSLEY ST,HUDSON,MA,01749,1593,,,,,,C010,,000,41,599,3806,,9785623481.0,ROBERT J SYLVIA,PRESIDENT,000000027994792,2.0,000000097,0.0,000000092,0.0,1997.0,1.0,0.0,1.0,001003474,001003474,,,,022Y112,0.0,01,001320342,9.0,3.0,201213,,0.0,HARDWARE,5072,0000,,,,,,,,
94,001003524,VULPLEX INCORPORATED,,305 NASH RD,NEW BEDFORD,MA,02746,5868,,,,,,C009,,000,41,203,5106,391,5089966787.0,SIMON LUBIN,PRESIDENT,000000002570455,2.0,000000038,2.0,000000038,2.0,1946.0,0.0,0.0,0.0,,,,,,022Y540,0.0,,,9.0,3.0,221113,,0.0,CTD FBRCS NOT RBRZ,2295,0102,,,,22970000,22410000,,,
95,001003602,ANGLETON ENTERPRISE,,220 N BRENTWOOD ST,SOLDOTNA,AK,99669,7329,P O BOX 4155,SOLDOTNA,AK,99669,4155,B055,,000,03,,8464,,9072622266.0,FRED ANGELTON,OWNER,000000000101918,2.0,000000002,2.0,000000002,2.0,2000.0,0.0,0.0,1.0,,,,,,008Y000,0.0,,,6.0,3.0,221120,,1.0,BUS SERVICES NEC,7389,1309,,,,,,,,
96,001003610,KENEI PENINSULA IND LIVING CTR,INDEPENDENT LIVING CENTER,47255 PRINCETON AVE STE 8,SOLDOTNA,AK,99669,8298,P O BOX 1907,SOLDOTNA,AK,99669,1907,B025,,000,03,,8464,,9072626333.0,LAUREL FRISON,DIRECTOR,000000000000000,,000000000,,000000003,0.0,,2.0,0.0,1.0,826911240,826911240,,Homer,AK,008Y000,0.0,01,001471326,6.0,3.0,220731,,0.0,INDVDL FAMILY SVCS,8322,0700,,,,,,,,
97,001003680,AMES SAFETY ENVELOPE COMPANY,AMES COLOR FILE DIV,12 TYLER ST,SOMERVILLE,MA,02143,3241,,,,,,C006,,000,41,599,7095,082,6176841000.0,KURT RAMSAUER,PRESIDENT,000000022838629,2.0,000000089,2.0,000000055,2.0,2010.0,1.0,3.0,0.0,859780389,001003680,9154659.0,Mayville,WI,022Y112,0.0,03,001224943,9.0,3.0,220705,,0.0,DIE-CUT PAPER BOARD,2675,0202,,,,511205009904,,,,
98,001003693,MEARS CONSTRUCTION REMODELING,,,SITKA,AK,99835,,P O BOX 1156,SITKA,AK,99835,1156,B015,,000,03,,8233,,9077471061.0,TIMOTHY MEARS,PRINCIPAL,000000000307876,2.0,000000003,0.0,000000003,0.0,2000.0,0.0,0.0,1.0,,,,,,008Y000,0.0,,,3.0,3.0,221204,,1.0,NONRESID CONSTR NE,1542,0103,,,,,,,,
99,001003727,HAINES SENIOR VILLAGE,,153 1ST AVE S,HAINES,AK,99827,,P O BOX 835,HAINES,AK,99827,0835,B011,,000,03,,3382,,9077663199.0,FLOY MCDOWELL,PRINCIPAL,000000000118998,0.0,000000002,0.0,000000002,0.0,2000.0,0.0,0.0,1.0,,,,,,008Y000,0.0,,,2.0,3.0,220424,,1.0,SNGL-FAM HSNG CNSTR,1521,0000,,,,,,,,
